iter	Passed	Remaining
810	1088	253
811	1089	252
812	1091	251
813	1092	249
814	1093	248
815	1095	246
816	1096	245
817	1097	244
818	1098	242
819	1101	241
820	1102	240
821	1103	238
822	1105	237
823	1106	236
824	1107	234
825	1109	233
826	1110	232
827	1111	230
828	1112	229
829	1114	228
830	1116	226
831	1117	225
832	1118	224
833	1120	222
834	1121	221
835	1122	220
836	1124	218
837	1125	217
838	1126	216
839	1127	214
840	1129	213
841	1131	212
842	1132	210
843	1134	209
844	1135	208
845	1137	207
846	1138	205
847	1140	204
848	1141	202
849	1142	201
850	1144	200
851	1145	199
852	1147	197
853	1148	196
854	1150	195
855	1153	194
856	1155	192
857	1156	191
858	1158	190
859	1159	188
860	1161	187
861	1163	186
862	1165	184
863	1166	183
864	1167	182
865	1168	180
866	1169	179
867	1171	178
868	1172	176
869	1173	175
870	1175	174
871	1176	172
872	1178	171
873	1179	170
874	1181	168
875	1182	167
876	1183	166
877	1185	164
878	1186	163
879	1187	161
880	1188	160
881	1190	159
882	1191	157
883	1192	156
884	1195	155
885	1196	153
886	1197	152
887	1199	151
888	1200	149
889	1201	148
890	1202	147
891	1204	145
892	1205	144
893	1207	143
894	1208	141
895	1210	140
896	1211	139
897	1213	137
898	1215	136
899	1216	135
900	1218	133
901	1220	132
902	1221	131
903	1223	129
904	1224	128
905	1225	127
906	1227	125
907	1228	124
908	1229	123
909	1230	121
910	1231	120
911	1233	118
912	1234	117
913	1236	116
914	1237	114
915	1238	113
916	1240	112
917	1241	110
918	1242	109
919	1244	108
920	1245	106
921	1246	105
922	1247	104
923	1250	102
924	1251	101
925	1252	100
926	1254	98
927	1255	97
928	1256	96
929	1257	94
930	1259	93
931	1260	91
932	1261	90
933	1263	89
934	1264	87
935	1266	86
936	1267	85
937	1269	83
938	1271	82
939	1272	81
940	1274	79
941	1276	78
942	1277	77
943	1278	75
944	1279	74
945	1281	73
946	1283	71
947	1284	70
948	1285	69
949	1286	67
950	1287	66
951	1289	64
952	1290	63
953	1291	62
954	1292	60
955	1294	59
956	1295	58
957	1297	56
958	1298	55
959	1299	54
960	1300	52
961	1302	51
962	1303	50
963	1304	48
964	1306	47
965	1307	46
966	1308	44
967	1311	43
968	1312	41
969	1313	40
970	1314	39
971	1315	37
972	1317	36
973	1318	35
974	1319	33
975	1320	32
976	1321	31
977	1322	29
978	1324	28
979	1325	27
980	1326	25
981	1328	24
982	1329	22
983	1330	21
984	1331	20
985	1332	18
986	1333	17
987	1335	16
988	1336	14
989	1337	13
990	1340	12
991	1341	10
992	1342	9
993	1343	8
994	1345	6
995	1346	5
996	1347	4
997	1348	2
998	1349	1
999	1350	0
